"shortname","category","page_count","file_count","url_count"
"afst112-00-w20",114,0,9,2
"afst398-00-w20",114,0,12,4
"afst400-00-w20",114,0,0,0
"amest400-00-w20",114,0,0,0
"amst115-00-w20",114,0,32,17
"amst244-00-w20",114,0,6,5
"amst345-00-w20",114,0,9,2
"amst399-00-w20",114,0,0,0
"arbc102-01-w20",114,0,0,0
"arbc102-02-w20",114,0,0,0
"ARBC102-w20 (Ramadan)",114,44,50,2
"arbc205-01-w20",114,0,0,0
"arbc205-02-w20",114,0,0,0
"arbc205-w20",114,25,16,1
"arbc387-00-w20",114,3,55,3
"arth102-00-w20",114,0,23,0
"arth209-00-w20",114,0,50,3
"arth235-00-w20",114,0,9,0
"arth263-07-w20",114,0,0,0
"arth264-07-w20",114,0,0,0
"ARTH298-00-w20",114,0,0,0
"arth400-00-w20",114,0,0,0
"arts110-01-w20",114,0,31,0
"arts110-02-w20",114,0,14,0
"arts114-07-w20",114,0,0,0
"arts122-00-w20",114,20,22,14
"arts180-00-w20",114,0,0,0
"arts210-00-w20",114,0,15,2
"ARTS238-Winter 2020",114,0,24,7
"arts260-00-w20",114,0,14,0
"arts291-11-w20",114,0,0,0
"arts330-00-w20",114,3,17,11
"arts332-00-w20",114,0,3,0
"ARTS339- Winter 2020",114,0,15,6
"ARTS391-11-w20",114,0,0,0
"arts400-00-w20",114,0,0,0
"asln111-00-w20",114,0,9,6
"asst400-00-w20",114,0,0,0
"astr110-00-w20",114,1,87,15
"AT Student Training 2019-2",114,11,1,16
"AT Student Training 2019-3",114,11,1,16
"AT Student Training 2019-4",114,11,1,16
"Bio 125 lab W20",114,4,9,13
"Bio 125 lecture W20",114,0,43,0
"Bio-126-w20-lab",114,8,0,1
"Bio-126-w20-lec",114,0,1,0
"biol125-52-w20",114,0,0,0
"biol125-53-w20",114,0,0,0
"biol125-54-w20",114,0,0,0
"biol125-57-w20",114,0,1,0
"biol125-59-w20",114,0,0,0
"biol126-52-w20",114,0,5,0
"biol126-53-w20",114,0,9,0
"biol126-54-w20",114,0,4,1
