"shortname","category","page_count","file_count","url_count"
"afam398-00-f14",34,0,3,0
"amst100-00-f14",34,0,13,16
"amst115-00-f14",34,0,16,3
"amst203-00-f14",34,0,0,0
"amst399-00-f14",34,0,20,3
"arbc101-00-f14",34,44,39,4
"arbc204-00-f14",34,43,38,0
"arth100-00-f14",34,0,1,0
"arth101-00-f14",34,0,27,6
"arth140-00-f14",34,0,28,0
"arth215-00-f14",34,0,0,0
"arth215-07-f14",34,0,0,0
"arth240-00-f14",34,0,33,0
"arth267-00-f14",34,0,19,6
"arth288-00-f14",34,0,18,1
"arth291-11-f14",34,0,0,0
"arth400-00-f14",34,0,0,0
"arth400-01-f14",34,0,0,0
"arts110-01-f14",34,0,11,3
"arts110-02-f14",34,0,15,0
"arts110-03-f14",34,0,15,0
"arts122-00-f14",34,21,20,12
"arts141-01-f14",34,0,0,0
"arts141-02-f14",34,0,0,0
"arts230-01-f14",34,8,4,6
"arts230-02-f14",34,0,0,0
"arts230-f14",34,10,5,7
"arts251-00-f14",34,0,0,0
"arts291-11-f14",34,0,0,0
"arts291-12-f14",34,0,0,0
"arts291-13-f14",34,0,0,0
"arts291-14-f14",34,0,0,0
"arts291-15-f14",34,0,0,0
"arts322-00-f14",34,18,13,7
"arts360-00-f14",34,0,8,3
"arts400-00-f14",34,0,1,0
"asst400-00-f14",34,0,0,0
"astr110-00-f14",34,0,1,0
"astr113-00-f14",34,0,0,0
"astr356-00-f14",34,0,0,0
"astr356-01-f14",34,0,0,0
"astr356-02-f14",34,0,0,0
"astr356-11-f14",34,0,0,0
"astr356-12-f14",34,0,0,0
"astr356-13-f14",34,0,0,0
"biol125-00-f14",34,5,92,52
"biol125l-53-f14",34,0,0,0
"biol125l-54-f14",34,0,0,0
"biol125l-59-f14",34,0,0,0
"biol125l-f14",34,1,23,0
"biol238-00-f14",34,0,12,2
"biol239-00-f14",34,0,10,0
"biol243s-00-f14",34,0,0,0
"biol252-00-f14",34,0,35,0
"biol253-00-f14",34,0,0,0
"biol280-00-f14",34,0,54,5
"biol281-01-f14",34,0,35,0
"biol281-02-f14",34,0,41,0
"biol321-00-f14",34,0,48,0
"biol322-00-f14",34,0,0,0
"biol332-00-f14",34,0,58,0
"biol333-00-f14",34,0,11,0
"biol344-00-f14",34,0,0,0
"biol350-00-f14",34,0,28,1
"biol380-00-f14",34,0,44,0
"biol381-00-f14",34,0,22,0
"biol382-00-f14",34,0,0,0
"biol383-00-f14",34,0,0,0
"biol394-00-f14",34,0,0,0
"biol394-11-f14",34,0,0,0
"biol394-12-f14",34,0,0,0
"biol394-13-f14",34,0,0,0
"biol394-14-f14",34,0,0,0
"biol394-15-f14",34,0,0,0
"biol394-16-f14",34,3,8,4
"biol394-18-f14",34,0,0,0
"biol394-19-f14",34,0,0,0
"biol394-20-f14",34,0,0,0
"biol394-21-f14",34,0,0,0
"biol394-22-f14",34,0,0,0
"biol394-23-f14",34,0,0,0
"biol394-24-f14",34,0,0,0
"biol394-25-f14",34,0,0,0
"biol395-00-f14",34,0,10,1
"biol399-00-f14",34,0,0,0
"biol399-01-f14",34,0,0,0
"biol399-02-f14",34,0,0,0
"biol400-00-f14",34,0,0,0
"cams110-00-f14",34,0,15,0
"cams111-01-f14",34,5,32,22
"cams111-02-f14",34,4,43,14
"cams214-00-f14",34,1,33,8
"cams271-00-f14",34,4,21,17
"cams278-00-f14",34,0,0,0
"cams291-11-f14",34,0,0,0
"cams291-12-f14",34,0,0,0
"cams291-13-f14",34,0,0,0
"cams295-00-f14",34,11,33,9
"cams295f-00-f14",34,17,14,6
"cams330-00-f14",34,0,10,0
"cams400-01-f14",34,0,0,0
"cams400-02-f14",34,0,0,0
"cams400-03-f14",34,0,0,0
"cams400-05-f14",34,0,0,0
"Carleton Choir -f14",34,0,0,0
"ccst100-00-f14",34,0,0,0
"ccst208-00-f14",34,0,0,0
"cgsc232-00-f14",34,0,2,0
"cgsc233-01-f14",34,0,0,0
"cgsc233-02-f14",34,0,0,0
"cgsc394-00-f14",34,0,1,0
"cgsc396-00-f14",34,0,0,0
"chem113-00-f14",34,0,0,0
"chem113l-52-f14",34,0,0,0
"chem122-00-f14",34,0,25,0
"chem123-00-f14",34,0,71,4
"chem123l-52-f14",34,0,14,0
"chem123l-57-f14",34,0,14,0
"chem128-00-f14",34,1,26,0
"chem128l-54-f14",34,0,0,0
"chem128l-59-f14",34,0,0,0
"chem230-00-f14",34,0,2,2
"chem230l-54-f14",34,0,0,0
"chem230l-59-f14",34,0,0,0
"chem233-01-f14",34,16,33,0
"chem233-02-f14",34,16,7,0
"chem233l-52-f14",34,0,0,0
"chem233l-54-f14",34,0,0,0
"chem233l-57-f14",34,0,0,0
"chem233l-59-f14",34,0,0,0
"chem301-00-f14",34,1,4,0
"chem301-01-f14",34,0,0,0
"chem301-02-f14",34,0,0,0
"chem301-03-f14",34,0,0,0
"chem301-04-f14",34,0,0,0
"chem343-00-f14",34,0,42,0
"chem345-00-f14",34,0,0,0
"chem394-00-f14",34,0,0,0
"chem394-11-f14",34,0,0,0
"chem394-12-f14",34,0,0,0
"chem394-13-f14",34,0,0,0
"chem394-14-f14",34,0,0,0
"chem394-15-f14",34,0,0,0
"chem394-16-f14",34,0,0,0
"chem394-18-f14",34,0,0,0
"chem394-19-f14",34,0,0,0
"chem394-20-f14",34,0,0,0
"chem394-21-f14",34,0,0,0
"chem394-22-f14",34,0,0,0
"chem394-23-f14",34,0,0,0
"chem400-01-f14",34,0,0,0
"chem400-05-f14",34,1,97,27
"chin101-01-f14",34,0,0,0
"chin101-02-f14",34,0,0,0
"chin101-f14",34,1,1,11
"chin204-00-f14",34,6,4,10
"chin204-02-f14",34,0,0,0
"chin207-07-f14",34,0,0,0
"chin212-07-f14",34,0,0,0
"chin280-00-f14",34,0,0,0
"chin282-07-f14",34,0,2,0
"chin307-07-f14",34,0,0,0
"chin310-00-f14",34,0,0,0
"clas100-00-f14",34,0,0,0
"clas100-01-f14",34,4,24,3
"clas100-02-f14",34,2,43,3
"clas394-00-f14",34,0,15,2
"cogsc400-00-f14",34,0,0,0
"cs100-00-f14",34,8,4,11
"cs111-01-f14",34,0,0,0
"cs111-02-f14",34,1,31,7
"cs111-f14",34,0,36,2
"cs201-00-f14",34,0,0,0
"cs201-01-f14",34,0,32,3
"cs201-02-f14",34,5,42,3
"cs202-00-f14",34,0,2,4
"cs231-00-f14",34,0,0,0
"cs251-00-f14",34,2,1,20
"cs252-00-f14",34,0,32,4
"cs257-00-f14",34,0,0,0
"cs291-11-f14",34,0,0,0
"cs334-00-f14",34,3,7,7
"cs399-01-f14",34,0,0,0
"cs399-02-f14",34,0,0,0
"cs399-03-f14",34,0,0,0
"cs399-04-f14",34,0,0,0
"cs399-05-f14",34,0,0,0
"cs399-06-f14",34,0,0,0
"cs399-07-f14",34,0,0,0
"cs399-08-f14",34,0,0,0
"cs399-09-f14",34,0,0,0
"cs399-10-f14",34,0,0,0
"danc100-00-f14",34,16,10,148
"danc107-00-f14",34,0,0,0
"danc148-00-f14",34,0,0,0
"danc150-00-f14",34,0,0,0
"danc200-00-f14",34,0,0,0
"danc208-00-f14",34,0,0,0
"danc300-00-f14",34,0,0,0
"danc301-00-f14",34,0,0,0
"danc350-00-f14",34,0,0,0
"econ110-01-f14",34,0,39,1
"econ110-02-f14",34,0,12,0
"econ110-03-f14",34,0,0,0
"econ111-01-f14",34,0,30,0
"econ111-02-f14",34,13,50,53
"econ111-03-f14",34,4,18,46
"econ233-00-f14",34,0,0,0
"econ240-00-f14",34,0,52,25
"econ270-00-f14",34,0,0,0
"econ276-00-f14",34,0,68,14
"econ278-00-f14",34,0,6,0
"econ280-00-f14",34,0,22,1
"econ291-11-f14",34,0,0,0
"econ329-00-f14",34,0,64,12
"econ330-00-f14",34,0,0,0
"econ395-01-f14",34,2,17,2
"econ395-02-f14",34,0,3,0
"econ395-03-f14",34,2,20,37
"econ400-00-f14",34,0,0,0
"educ100-00-f14",34,1,67,18
"educ110-00-f14",34,0,63,36
"educ234-00-f14",34,0,122,23
"educ291-11-f14",34,0,0,0
"educ291-12-f14",34,0,0,0
"educ291-13-f14",34,0,0,0
"educ355-00-f14",34,0,47,7
"educ356-00-f14",34,0,0,0
"educ375-00-f14",34,0,15,12
"engl100-00-f14",34,0,0,0
"engl100-01-f14",34,12,11,6
"engl100-02-f14",34,0,9,0
"engl100-03-f14",34,11,0,0
"engl100-04-f14",34,0,0,0
"engl100-05-f14",34,1,18,14
"engl100-06-f14",34,0,17,0
"engl100-08-f14",34,0,1,0
"engl129-00-f14",34,0,26,6
"engl136-00-f14",34,1,4,4
"engl160-01-f14",34,0,0,0
"engl160-02-f14",34,10,32,13
"engl194-00-f14",34,0,26,34
