"shortname","category","page_count","file_count","url_count"
"afam115-00-s15",36,0,18,0
"afam398-00-s15",36,0,0,0
"afam400-00-s15",36,0,0,0
"amst115-00-s15",36,16,42,28
"amst203-00-s15",36,0,0,0
"amst225-00-s15",36,20,1,1
"amst268-00-s15",36,0,0,0
"amst396-00-s15",36,0,23,0
"arbc103-00-s15",36,44,20,0
"arbc206-00-s15",36,15,10,2
"arbc211-00-s15",36,15,18,0
"arbc222-00-s15",36,4,19,26
"arbc223-00-s15",36,0,0,0
"arcn246-00-s15",36,0,28,0
"arcn246l-00-s15",36,0,0,0
"arcn246l-52-s15",36,0,0,0
"arth172-00-s15",36,0,44,0
"arth235-00-s15",36,0,15,0
"arth255-00-s15",36,0,7,0
"arth287-00-s15",36,0,32,0
"arth333-00-s15",36,0,0,0
"arth400-00-s15",36,0,0,0
"arts110-00-s15",36,0,10,1
"arts113-01-s15",36,0,10,1
"arts113-02-s15",36,0,29,1
"arts113-03-s15",36,0,4,0
"arts122-00-s15",36,20,21,12
"arts252-00-s15",36,0,0,0
"arts260-00-s15",36,0,6,1
"arts274-00-s15",36,0,14,0
"arts291-11-s15",36,0,0,0
"arts291-12-s15",36,0,0,0
"arts291-13-s15",36,0,0,0
"arts291-14-s15",36,0,0,0
"arts291-15-s15",36,0,0,0
"arts291-16-s15",36,0,0,0
"arts291-18-s15",36,0,0,0
"arts291-19-s15",36,0,0,0
"arts291-20-s15",36,0,0,0
"arts298-00-s15",36,0,6,1
"arts327-00-s15",36,6,29,16
"arts330-00-s15",36,3,5,6
"arts400-00-s15",36,1,1,0
"asln260-00-s15",36,0,2,6
"asst284-00-s15",36,0,0,0
"asst284-07-s15",36,0,0,0
"astr113-00-s15",36,0,0,0
"astr233-00-s15",36,1,33,6
"astr356-00-s15",36,0,0,0
"astr356-11-s15",36,0,4,0
"astr356-12-s15",36,0,11,2
"astr356-13-s15",36,0,0,0
"biol126-00-s15",36,0,29,0
"biol126l-52-s15",36,0,4,0
"biol126l-53-s15",36,0,4,0
"biol126l-54-s15",36,0,7,0
"biol126l-57-s15",36,0,3,1
"biol126l-59-s15",36,0,6,0
"biol126l-s15",36,2,26,0
"biol240-00-s15",36,0,65,7
"biol241-01-s15",36,0,15,0
"biol241-02-s15",36,0,15,0
"biol342-00-s15",36,2,53,4
"biol343-00-s15",36,1,24,3
"biol352-00-s15",36,0,32,0
"biol353-00-s15",36,0,16,0
"biol354-00-s15",36,0,0,0
"biol374-00-s15",36,0,10,0
"biol385-00-s15",36,0,19,0
"biol386-00-s15",36,0,84,0
"biol387-00-s15",36,0,11,0
"biol394-00-s15",36,0,0,0
"biol394-11-s15",36,0,0,0
"biol394-12-s15",36,0,0,0
"biol394-13-s15",36,0,0,0
"biol394-14-s15",36,0,0,0
"biol394-15-s15",36,0,0,0
"biol394-16-s15",36,0,0,0
"biol394-18-s15",36,0,0,0
"biol394-19-s15",36,0,0,0
"biol394-20-s15",36,0,0,0
"biol394-21-s15",36,0,0,0
"biol394-22-s15",36,0,0,0
"biol394-23-s15",36,0,0,0
"biol400-00-s15",36,0,0,0
"cams110-00-s15",36,0,25,2
"cams111-01-s15",36,0,20,0
"cams111-02-s15",36,51,28,6
"cams186-00-s15",36,0,8,1
"cams231-07-s15",36,0,0,0
