"shortname","category","page_count","file_count","url_count"
"econ265-00-s20",110,0,8,0
"econ271-00-s20",110,0,62,16
"econ276-00-s20",110,23,22,8
"econ280-00-s20",110,2,0,27
"ECON281-00-s20",110,0,0,0
"econ282-00-s20",110,2,8,7
"ECON292-11-s20",110,0,0,0
"econ329-00-s20",110,1,70,13
"econ331-00-s20",110,0,10,10
"econ400-01-s20",110,0,0,0
"ECON400-02-s20",110,0,0,0
"econ400-03-s20",110,0,0,0
"educ110-00-s20",110,7,14,35
"EDUC250-00-s20",110,0,0,0
"educ291-12-s20",110,6,5,9
"EDUC338-00-s20",110,0,0,0
"educ395-00-s20",110,17,11,0
"engl109-00-s20",110,16,16,5
"engl115-00-s20",110,0,18,0
"ENGL119-00-s20",110,0,0,0
"engl135-00-s20",110,4,0,0
"engl160-00-s20",110,9,9,0
"engl187-00-s20",110,14,14,14
"ENGL214-00-s20",110,0,0,0
"engl214-01-s20",110,14,9,2
"engl219-00-s20",110,13,4,2
"engl220-01-s20",110,0,4,8
"engl220-02-s20",110,0,5,9
"ENGL220-s20 (Raylor)",110,0,0,0
"engl225-00-s20",110,17,90,57
"engl239-00-s20",110,0,31,12
"ENGL245-00-s20",110,0,0,0
"engl249-00-s20",110,1,55,28
"engl250-00-s20",110,4,0,0
"engl285-00-s20",110,2,15,20
"engl295-00-s20",110,4,14,2
"engl323-00-s20",110,0,46,11
"engl345-00-s20",110,0,1,0
"engl359-00-s20",110,0,8,0
"engl370-00-s20",110,1,8,0
"engl371-00-s20",110,1,4,66
"ENGL391-11-s20",110,0,0,0
"engl395-00-s20",110,1,36,20
"ents244-00-s20",110,0,61,12
"ents254-00-s20",110,0,76,3
"ENTS274-00-s20",110,0,0,0
"ents288-00-s20",110,0,10,2
"eust159-00-s20",110,4,65,25
"fren103-01-s20",110,33,40,93
"fren103-02-s20",110,32,46,68
"fren103-03-s20",110,32,45,68
"FREN103-s20 (Keïta)",110,0,0,0
"FREN208-07-s20",110,0,0,0
"fren210-00-s20",110,3,1,2
"fren248-00-s20",110,4,25,9
"FREN254-07-s20",110,0,0,0
"FREN255-07-s20",110,0,0,0
"FREN259-07-s20",110,0,0,0
"fren259/359-s20",110,10,16,7
"fren309-00-s20",110,2,25,67
"FREN359-07-s20",110,0,0,0
"fren360-00-s20",110,2,0,21
"geol110-53-s20",110,0,0,0
"geol110-54-s20",110,0,0,0
"GEOL110-s20",110,0,25,0
"GEOL135-53-s20",110,0,0,0
"GEOL135-54-s20",110,0,0,0
"geol240-00-s20",110,0,2,3
"geol240-01-s20",110,0,1,0
"GEOL240-s20",110,0,0,0
"geol255-52-s20",110,0,9,3
"geol258-53-s20",110,100,134,65
"geol400-00-s20",110,0,0,0
"germ103-01-s20",110,0,0,0
"germ103-02-s20",110,0,0,0
"GERM103-s20 (Kost)",110,7,56,54
"GERM103-s20 (Meyer)",110,0,0,0
"germ247-00-s20",110,32,68,19
"germ342-00-s20",110,0,0,0
"GERM400-00-s20",110,0,0,0
"grk102-00-s20",110,10,1,30
"grk231-00-s20",110,8,14,6
"Happy Hour s20",110,13,5,2
"hist127-00-s20",110,0,12,28
"hist143-00-s20",110,16,0,0
"hist156-00-s20",110,4,111,0
"hist200-00-s20",110,3,2,0
"hist203-00-s20",110,2,53,62
"HIST225-00-s20",110,1,0,2
"hist226-00-s20",110,0,62,0
"hist238-00-s20",110,40,54,14
"hist243-00-s20",110,11,16,0
"hist252-00-s20",110,16,0,0
"HIST263-00-s20",110,0,0,0
"HIST270-00-s20",110,0,0,0
"HIST282-07-s20",110,0,0,0
"HIST284-07-s20",110,0,4,0
"HIST285-07-s20",110,0,5,0
"hist307-00-s20",110,0,5,7
"hist341-00-s20",110,0,5,0
"hist382-00-s20",110,4,88,64
"idsc198-01-s20",110,0,0,0
"idsc198-02-s20",110,0,0,0
"IDSC198-s20 (Hollingsworth)",110,0,9,1
"idsc202-00-s20",110,0,15,5
"idsc251-01-s20",110,0,10,5
"idsc251-02-s20",110,0,9,4
"IDSC251-s20 (Cooper)",110,0,0,0
"IDSC251-s20 (Rubenstein)",110,0,0,0
"idsc280-00-s20",110,0,0,0
"idsc289-00-s20",110,1,3,2
"idsc298-00-s20",110,0,0,1
"jalli400-00-s20",110,0,0,0
"japn103-01-s20",110,0,0,0
"japn103-02-s20",110,0,0,0
"JAPN103-s20 (Kaga)",110,3,79,2
"japn206-00-s20",110,3,120,73
"japn244-00-s20",110,0,24,29
"japn345-00-s20",110,0,41,4
"latn103-00-s20",110,14,3,0
"latn285-00-s20",110,0,11,1
"ling110-00-s20",110,0,30,53
"ling115-00-s20",110,0,91,15
"ling150-00-s20",110,0,29,62
"ling280-00-s20",110,1,32,102
"LING285-07-s20",110,0,0,0
"LING286-07-s20",110,0,0,0
"ling340-00-s20",110,0,82,6
"LTAM110-00-s20",110,0,0,0
"ltam398-00-s20",110,1,1,4
"math120-00-s20",110,2,0,1
"math210-01-s20",110,0,1,1
"math210-02-s20",110,1,25,2
"math215-01-s20",110,0,0,0
"math215-02-s20",110,18,1,3
"math215-03-s20",110,5,81,78
"math215-04-s20",110,5,81,78
"MATH215-s20 (Kohnen)",110,0,10,11
"math232-01-s20",110,0,35,0
"math232-02-s20",110,0,1,1
"math236-01-s20",110,0,4,0
"math236-02-s20",110,110,39,0
"math241-00-s20",110,1,44,6
"math241-00-s20_copy_1",110,1,44,6
"math244-00-s20",110,0,2,0
"math245-01-s20",110,2,0,0
"MATH245-s20 (Madsen)",110,0,0,0
"math275-00-s20",110,35,0,15
"math280-00-s20",110,1,12,9
"math285-00-s20",110,9,8,162
"math295-00-s20",110,0,31,1
"math297-00-s20",110,0,0,0
"math312-00-s20",110,0,14,0
"math321-00-s20",110,18,14,4
"math341-00-s20",110,1,0,6
"math345-00-s20",110,0,0,0
"math352-00-s20",110,9,20,19
"math361-00-s20",110,24,47,42
"math400-01-s20",110,0,0,0
"math400-02-s20",110,0,0,0
"math400-03-s20",110,0,0,0
"math400-04-s20",110,0,0,0
"math400-05-s20",110,0,0,0
"math400-06-s20",110,0,0,0
"math400-08-s20",110,0,0,0
"MATH400-09-s20",110,0,0,0
"MATH400-10-s20",110,0,0,0
"MATH400-11-s20",110,0,0,0
"MATH400-12-s20",110,0,0,0
"MATH400-13-s20",110,0,0,0
"MATH400-14-s20",110,0,0,0
"MEST390-11-s20",110,0,0,0
"mest395-00-s20",110,1,13,0
"MUSC101-00-s20",110,0,0,0
"musc111-00-s20",110,0,15,1
"musc131-00-s20",110,0,18,0
"musc150-00-s20",110,0,0,0
