"shortname","category","page_count","file_count","url_count"
"AFAM125-00-S16",86,0,38,0
"AMST115-00-S16",86,15,45,28
"AMST115-WL0-S16",86,0,0,0
"AMST228-00-S16",86,0,0,0
"AMST230-00-S16",86,0,0,0
"AMST240-00-S16",86,1,37,12
"AMST267-00-S16",86,0,23,0
"AMST290-11-S16",86,0,0,0
"AMST396-00-S16",86,3,38,6
"ARBC103-00-S16",86,43,22,0
"ARBC206-00-S16",86,26,26,2
"ARBC387-00-S16",86,0,39,2
"ARCN391-11-S16",86,0,0,0
"ARCN395-00-S16",86,7,34,6
"ARTH155-00-S16",86,0,5,0
"ARTH240-00-S16",86,0,30,0
"ARTH245-00-S16",86,0,0,0
"ARTH278-00-S16",86,0,0,0
"ARTH286-00-S16",86,0,30,0
"ARTH400-01-S16",86,0,0,0
"ARTH400-02-S16",86,0,0,0
"ARTH400-03-S16",86,0,0,0
"ARTH400-04-S16",86,0,0,0
"ARTS110-00-S16",86,0,11,0
"ARTS110-02-S16",86,0,0,0
"ARTS110-WL0-S16",86,0,0,0
"ARTS113-01-S16",86,0,9,1
"ARTS113-02-S16",86,0,33,1
"ARTS113-03-S16",86,0,33,1
"ARTS122-00-S16",86,20,20,12
"ARTS140-00-S16",86,0,0,0
"ARTS252-00-S16",86,0,0,0
"ARTS260-00-S16",86,0,6,1
"ARTS291-11-S16",86,0,0,0
"ARTS291-12-S16",86,0,0,0
"ARTS291-13-S16",86,0,0,0
"ARTS291-14-S16",86,0,0,0
"ARTS291-15-S16",86,0,0,0
"ARTS291-16-S16",86,0,0,0
"ARTS291-18-S16",86,0,0,0
"ARTS291-19-S16",86,0,0,0
"ARTS298-00-S16",86,0,10,2
"ARTS327-00-S16",86,6,32,17
"ARTS330-00-S16",86,0,12,0
"ARTS374-00-S16",86,0,9,0
"ARTS391-11-S16",86,0,0,0
"ARTS391-12-S16",86,0,0,0
"ARTS400-00-S16",86,0,4,0
"ASST284-07-S16",86,0,11,0
"ASST400-00-S16",86,0,0,0
"ASTR110-00-S16",86,0,35,4
"ASTR110-WL0-S16",86,0,0,0
"ASTR113-00-S16",86,0,0,0
"ASTR127-00-S16",86,1,34,3
"ASTR356-00-S16",86,0,0,0
"ASTR356-11-S16",86,0,0,0
"ASTR356-12-S16",86,0,0,0
"BIOL126-00-S16",86,0,26,0
"BIOL126L-52-S16",86,0,6,0
"BIOL126L-53-S16",86,0,8,0
"BIOL126L-54-S16",86,0,9,0
"BIOL126L-59-S16",86,0,6,0
"biol126L-s16",86,0,31,0
"BIOL126L-WL2-S16",86,0,0,0
"BIOL126L-WL3-S16",86,0,0,0
"BIOL126L-WL4-S16",86,0,0,0
"BIOL126L-WL9-S16",86,0,0,0
"BIOL209-00-S16",86,0,53,0
"BIOL234-00-S16",86,0,29,0
"BIOL235-00-S16",86,0,7,0
"BIOL240-00-S16",86,0,59,0
"BIOL241-01-S16",86,0,0,0
"BIOL241-02-S16",86,0,0,0
"BIOL241-WL1-S16",86,0,0,0
"BIOL241-WL2-S16",86,0,0,0
"BIOL342-00-S16",86,2,62,3
"BIOL343-00-S16",86,2,24,3
"BIOL352-00-S16",86,0,34,1
"BIOL353-00-S16",86,0,21,0
"BIOL354-00-S16",86,0,0,0
"BIOL374-00-S16",86,0,38,0
"BIOL385-00-S16",86,0,17,0
"BIOL385-WL0-S16",86,0,0,0
"BIOL386-00-S16",86,0,128,0
"BIOL387-00-S16",86,0,20,0
"BIOL392-11-S16",86,0,0,0
"BIOL394-00-S16",86,0,0,0
"BIOL394-01 -S16",86,0,0,0
"BIOL394-11-S16",86,0,0,0
"BIOL394-12-S16",86,0,0,0
