"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"A&I Teaching F’20",115,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0
"afst100-00-f20",115,12,0,0,0,2,2,2,0,25,0,0,5,0,0,0,0,0
"afst400-00-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst115-00-f20",115,5,0,0,0,0,0,12,0,1,0,0,1,0,0,0,0,0
"amst225-00-f20",115,17,0,0,0,0,0,1,0,12,0,0,6,0,0,0,0,0
"amst231-22-f20",115,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"amst256-00-f20",115,4,0,0,0,0,2,7,0,14,0,0,1,0,0,0,0,0
"amst398-00-f20",115,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"arbc101-01-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc101-02-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARBC101-f20 (Haidar)",115,1,0,0,0,0,0,3,0,17,0,0,50,1,0,0,0,0
"arbc204-01-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc204-02-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARBC204-f20 (Klein)",115,0,0,0,0,0,1,3,0,15,12,0,74,13,0,0,0,0
"arth100-00-f20",115,3,0,0,1,0,3,1,0,0,0,0,5,0,0,0,0,0
"arth101-00-f20",115,2,0,0,1,0,21,1,0,0,0,0,1,5,0,0,0,0
"arth165-00-f20",115,3,0,0,0,22,1,4,0,0,0,0,0,5,0,0,1,0
"arth341-00-f20",115,4,0,0,1,0,13,2,0,0,0,0,0,0,0,0,0,0
"arth400-00-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-01-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-02-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-03-f20",115,3,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0
"arts122-00-f20",115,13,0,0,0,0,0,2,0,51,0,0,4,3,0,0,0,0
"arts142-00-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts151-00-f20",115,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts243-00-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts260-00-f20",115,8,0,0,0,0,0,9,0,0,0,0,13,0,0,0,0,0
"ARTS327-00-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts327-01-f20",115,18,0,0,0,0,0,3,0,30,0,0,0,0,0,0,0,0
"ARTS391-11-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts394-01-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts394-02-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts400-00-f20",115,13,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"asst100-00-f20",115,9,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"ASST400-00-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"astr110-00-f20",115,37,0,0,1,0,0,3,0,61,0,0,0,0,0,0,0,0
"astr113-00-f20",115,0,0,0,1,0,5,1,0,15,0,0,0,0,0,0,0,0
"biol125-53-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol125-54-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol125-59-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol238-00-f20",115,3,0,0,1,0,1,1,0,12,0,0,3,4,0,0,0,0
"biol239-00-f20",115,1,0,0,1,0,1,1,0,13,0,0,0,0,0,0,0,0
"biol272-00-f20",115,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol273-00-f20",115,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol280-00-f20",115,6,0,0,0,2,6,2,0,13,0,0,1,6,0,0,0,0
"biol281-01-f20",115,7,0,0,0,0,2,1,0,7,0,0,1,0,0,0,0,0
"biol321-00-f20",115,4,0,0,1,0,6,1,0,21,0,0,0,7,0,0,0,0
"biol338-00-f20",115,13,0,0,0,0,14,9,0,43,0,0,36,0,0,0,0,0
"biol339-01-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol339-02-f20",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL339-f20 (Anderson)",115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol350-00-f20",115,18,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
"biol355-00-f20",115,3,0,0,1,0,1,1,0,20,0,0,68,0,0,0,0,0
"biol356-00-f20",115,21,0,0,0,0,3,13,0,34,0,0,14,0,0,0,0,0
