"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"afam398-00-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"afam400-00-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst241-00-w15",35,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst242-00-w15",35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst345-00-w15",35,9,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0
"amst400-00-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst400-01-w15",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"amst400-02-w15",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arbc102-00-w15",35,0,0,0,0,0,3,4,0,0,35,0,0,34,0,0,0,0
"arbc205-00-w15",35,2,0,0,0,0,0,1,0,21,5,0,0,0,0,0,0,0
"arbc286-00-w15",35,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"arth102-00-w15",35,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
"arth166-00-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arth171-00-w15",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arth298-00-w15",35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"arth340-00-w15",35,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0
"arth400-00-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-01-w15",35,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"arts110-02-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts122-00-w15",35,13,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"arts185-00-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts210-00-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts212-07-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts234-00-w15",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arts238-00-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts260-00-w15",35,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"arts274-07-w15",35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
