"shortname","category","page_count","file_count","url_count"
"AFAM210-00-F15",84,0,0,0
"AMST115-00-F15",84,0,17,2
"AMST115-WL0-F15",84,0,0,0
"AMST399-00-F15",84,0,29,4
"ARBC100-00-F15",84,0,26,0
"ARBC101-00-F15",84,44,42,3
"ARBC204-00-F15",84,57,53,0
"ARTH100-00-F15",84,0,0,0
"ARTH101-00-F15",84,0,15,5
"ARTH165-00-F15",84,0,5,17
"ARTH171-00-F15",84,1,2,0
"ARTH225-00-F15",84,0,0,0
"ARTH247-00-F15",84,0,34,0
"ARTH400-01-F15",84,0,0,0
"ARTH400-02-F15",84,0,0,0
"ARTH400-03-F15",84,0,0,0
"ARTH400-04-F15",84,0,0,0
"ARTS110-01-F15",84,0,10,1
"ARTS110-02-F15",84,0,13,3
"ARTS141-00-F15",84,0,0,0
"ARTS213-00-F15",84,0,9,5
"ARTS230-01-F15",84,0,0,0
"ARTS230-02-F15",84,0,0,0
"arts230-F15",84,10,6,8
"ARTS240-00-F15",84,0,0,0
"ARTS251-00-F15",84,0,0,0
"ARTS251-WL0-F15",84,0,0,0
"ARTS291-11-F15",84,0,12,0
"ARTS391-11-F15",84,0,0,0
"ARTS400-00-F15",84,0,5,0
"ASST400-00-F15",84,0,0,0
"ASTR100-00-F15",84,3,19,2
"ASTR113-00-F15",84,0,5,0
"ASTR232-00-F15",84,0,29,0
"ASTR356-00-F15",84,0,0,0
"BIOL125-00-F15",84,5,128,57
"BIOL125L-53-F15",84,0,0,0
"BIOL125L-54-F15",84,0,0,0
"BIOL125L-59-F15",84,0,0,0
"biol125l-f15",84,0,17,0
"BIOL125L-WL3-F15",84,0,0,0
"BIOL125L-WL4-F15",84,0,0,0
"BIOL125L-WL9-F15",84,0,0,0
"BIOL252-00-F15",84,0,35,0
"BIOL253-00-F15",84,0,0,0
"BIOL280-00-F15",84,0,2,3
"BIOL281-01-F15",84,0,30,0
"BIOL281-02-F15",84,0,30,0
"BIOL321-00-F15",84,0,54,0
"BIOL322-00-F15",84,0,0,0
"BIOL350-00-F15",84,0,28,1
"BIOL380-00-F15",84,0,40,0
"BIOL381-01-F15",84,0,7,0
"BIOL381-02-F15",84,0,7,0
"BIOL389-00-F15",84,2,61,8
"BIOL391-11-F15",84,0,0,0
"BIOL395-00-F15",84,0,1,1
"BIOL399-00-F15",84,0,0,0
"BIOL399-01-F15",84,0,0,0
"BIOL399-02-F15",84,0,0,0
"BIOL399-03-F15",84,0,0,0
"BIOL399-04-F15",84,0,0,0
"BIOL399-05-F15",84,0,0,0
"BIOL400-00-F15",84,0,0,0
"CAMS100-00-F15",84,2,13,18
"CAMS110-00-F15",84,0,21,2
"CAMS110-WL0-F15",84,0,0,0
"CAMS111-01-F15",84,12,21,18
"CAMS111-02-F15",84,9,39,16
"CAMS111-WL1-F15",84,0,0,0
"CAMS111-WL2-F15",84,0,0,0
"CAMS211-00-F15",84,0,7,0
"CAMS242-00-F15",84,0,30,13
"CAMS270-00-F15",84,3,17,21
"CAMS279-00-F15",84,0,0,0
"CAMS350-00-F15",84,2,69,8
"CAMS400-00-F15",84,0,0,0
"CAMS400-01-F15",84,0,0,0
"CAMS400-02-F15",84,0,0,0
"CAMS400-03-F15",84,0,0,0
"CAMS400-04-F15",84,0,0,0
"CAMS400-05-F15",84,0,0,0
"CAMS400-06-F15",84,0,0,0
"Carleton Choir Fall '15",84,0,0,0
"CCST100-01-F15",84,10,3,7
"CCST100-02-F15",84,0,19,1
"CCST208-00-F15",84,0,1,0
"CGSC100-00-F15",84,0,5,1
"CGSC130-00-F15",84,0,0,0
"CGSC396-00-F15",84,0,1,0
"CHEM122-00-F15",84,0,41,4
"CHEM123-00-F15",84,0,100,10
"CHEM123L-52-F15",84,0,20,0
"CHEM123L-57-F15",84,0,20,0
"CHEM230-00-F15",84,0,5,1
"CHEM230L-54-F15",84,0,0,0
"CHEM230L-59-F15",84,0,0,0
"CHEM233-01-F15",84,18,34,0
"CHEM233-02-F15",84,25,3,0
"CHEM233L-52-F15",84,0,0,0
"CHEM233L-54-F15",84,0,0,0
"CHEM233L-57-F15",84,0,0,0
"CHEM233L-59-F15",84,0,0,0
"CHEM301-01-F15",84,0,0,0
"CHEM301-02-F15",84,0,0,0
"CHEM301-03-F15",84,0,0,0
"CHEM301-04-F15",84,0,0,0
"CHEM301-f15",84,0,14,1
"CHEM343-00-F15",84,0,18,0
"CHEM358-00-F15",84,0,52,7
"CHEM391-11-F15",84,0,0,0
"CHEM394-00-F15",84,0,0,0
"CHIN101-01-F15",84,0,0,0
"CHIN101-02-F15",84,0,0,0
"chin101-f15",84,1,7,28
"CHIN204-01-F15",84,0,0,0
"CHIN204-02-F15",84,0,0,0
"chin204-f15",84,6,4,10
"CHIN248-00-F15",84,0,0,1
"CHIN280-00-F15",84,0,0,0
"CHIN301S-00-F15",84,0,0,0
"CHINA400-00-F15",84,0,0,0
"CLAS100-00-F15",84,2,62,5
"CLAS394-00-F15",84,0,0,0
"CS111-01-F15",84,5,52,4
"CS111-02-F15",84,0,0,0
"CS111-03-F15",84,6,46,1
"CS111-WL1-F15",84,0,0,0
"CS111-WL2-F15",84,0,0,0
"CS201-00-F15",84,16,9,9
"CS202-00-F15",84,1,32,1
"CS208-00-F15",84,5,7,1
"CS251-00-F15",84,2,6,13
"CS252-00-F15",84,0,4,0
"CS254-00-F15",84,1,38,4
"CS322-00-F15",84,2,20,5
"CS331-00-F15",84,18,1,6
"CS399-01-F15",84,0,0,0
"CS399-02-F15",84,0,0,0
"CS399-03-F15",84,0,0,0
"CS399-04-F15",84,0,0,0
"CS399-05-F15",84,0,0,0
"CS399-06-F15",84,0,0,0
"CS399-08-F15",84,0,0,0
"CS399-09-F15",84,0,0,0
"CS399-10-F15",84,0,0,0
"CS399-11-F15",84,0,0,0
"DANC107-00-F15",84,0,0,0
"DANC148-00-F15",84,0,0,0
"DANC150-00-F15",84,0,0,0
"DANC200-00-F15",84,0,0,0
"DANC208-00-F15",84,0,0,0
"DANC300-00-F15",84,0,0,0
"DANC301-00-F15",84,0,0,0
"DANC350-00-F15",84,0,0,0
"ECON110-01-F15",84,0,0,0
"ECON110-02-F15",84,0,14,0
"ECON111-01-F15",84,0,10,0
"ECON111-02-F15",84,0,26,20
"ECON111-03-F15",84,0,51,20
"ECON240-00-F15",84,0,91,34
"ECON268-00-F15",84,0,22,12
"ECON271-00-F15",84,0,121,68
"ECON278-00-F15",84,0,11,2
"ECON280-00-F15",84,0,42,2
"ECON329-00-F15",84,0,17,0
"ECON330-00-F15",84,0,0,0
"ECON395-01-F15",84,0,24,0
"ECON395-02-F15",84,0,18,0
"ECON395-03-F15",84,0,0,0
"ECON400-04-F15",84,0,0,0
"EDUC100-00-F15",84,1,86,21
"EDUC110-00-F15",84,1,34,11
"EDUC110-WL0-F15",84,0,0,0
"EDUC234-00-F15",84,0,125,26
"EDUC340-00-F15",84,0,56,17
