"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"afam398-00-f14",34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst100-00-f14",34,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"amst115-00-f14",34,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst203-00-f14",34,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"amst399-00-f14",34,10,0,0,0,0,1,3,0,37,0,0,0,0,0,0,0,0
"arbc101-00-f14",34,1,0,0,0,0,0,8,0,20,22,0,0,14,0,0,0,0
"arbc204-00-f14",34,0,0,0,0,0,0,5,0,15,17,0,0,5,0,0,0,0
"arth100-00-f14",34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arth101-00-f14",34,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"arth140-00-f14",34,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0
"arth215-00-f14",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arth215-07-f14",34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arth240-00-f14",34,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0
"arth267-00-f14",34,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
"arth288-00-f14",34,24,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0
"arth291-11-f14",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arth400-00-f14",34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arth400-01-f14",34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"arts110-01-f14",34,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-02-f14",34,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
"arts110-03-f14",34,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
