"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"afst112-00-w20",114,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"afst398-00-w20",114,6,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
"afst400-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amest400-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst115-00-w20",114,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"amst244-00-w20",114,8,0,0,0,1,0,29,0,1,0,0,0,0,0,0,0,0
"amst345-00-w20",114,9,0,0,0,1,0,2,0,15,0,0,0,0,0,0,0,0
"amst399-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc102-01-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc102-02-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARBC102-w20 (Ramadan)",114,3,0,0,0,0,3,1,0,2,0,0,37,30,0,0,0,0
"arbc205-01-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc205-02-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc205-w20",114,0,0,0,0,0,0,1,0,15,0,0,8,0,0,0,0,0
"arbc387-00-w20",114,0,0,0,0,0,0,11,0,35,0,0,0,0,0,0,0,0
"arth102-00-w20",114,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0
"arth209-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arth235-00-w20",114,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"arth263-07-w20",114,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"arth264-07-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTH298-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arth400-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-01-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-02-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts114-07-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts122-00-w20",114,13,0,0,0,0,0,2,0,9,0,0,0,4,0,0,0,0
"arts180-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts210-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS238-Winter 2020",114,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
"arts260-00-w20",114,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"arts291-11-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts330-00-w20",114,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"arts332-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARTS339- Winter 2020",114,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
"ARTS391-11-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts400-00-w20",114,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"asln111-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
"asst400-00-w20",114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"astr110-00-w20",114,0,0,0,0,0,2,1,0,55,0,0,0,6,0,0,0,0
"AT Student Training 2019-2",114,18,0,6,0,0,0,3,0,2,0,1,0,3,0,0,0,1
"AT Student Training 2019-3",114,18,0,6,0,0,0,3,0,2,0,1,0,3,0,0,0,1
"AT Student Training 2019-4",114,18,0,6,0,0,0,3,0,2,0,1,0,3,0,0,0,1
