"shortname","category","page_count","file_count","url_count"
"A&I Teaching F’20",115,0,11,21
"afst100-00-f20",115,3,50,22
"afst400-00-f20",115,0,0,0
"amst115-00-f20",115,0,44,40
"amst225-00-f20",115,1,3,5
"amst231-22-f20",115,0,0,0
"amst256-00-f20",115,13,19,6
"amst398-00-f20",115,0,0,0
"arbc101-01-f20",115,0,0,0
"arbc101-02-f20",115,0,0,0
"ARBC101-f20 (Haidar)",115,42,44,13
"arbc204-01-f20",115,0,0,0
"arbc204-02-f20",115,0,0,0
"ARBC204-f20 (Klein)",115,33,78,39
"arth100-00-f20",115,0,6,0
"arth101-00-f20",115,0,1,0
"arth165-00-f20",115,0,69,16
"arth341-00-f20",115,0,6,5
"arth400-00-f20",115,0,0,0
"arts110-01-f20",115,0,50,0
"arts110-02-f20",115,0,25,0
"arts110-03-f20",115,36,35,20
"arts122-00-f20",115,18,24,21
"arts142-00-f20",115,0,0,0
"arts151-00-f20",115,0,3,0
"arts243-00-f20",115,0,0,0
"arts260-00-f20",115,0,7,8
"ARTS327-00-f20",115,0,0,0
"arts327-01-f20",115,9,34,26
"ARTS391-11-f20",115,0,0,0
"arts394-01-f20",115,0,0,1
"arts394-02-f20",115,0,0,0
"arts400-00-f20",115,0,4,2
"asst100-00-f20",115,0,59,12
"ASST400-00-f20",115,0,0,0
"astr110-00-f20",115,0,64,1
"astr113-00-f20",115,3,20,12
"biol125-53-f20",115,0,0,0
"biol125-54-f20",115,0,0,0
"biol125-59-f20",115,0,0,0
"biol238-00-f20",115,2,0,0
"biol239-00-f20",115,1,1,0
"biol272-00-f20",115,24,42,1
"biol273-00-f20",115,0,6,0
"biol280-00-f20",115,0,37,3
"biol281-01-f20",115,0,15,1
"biol321-00-f20",115,0,21,8
"biol338-00-f20",115,0,20,30
"biol339-01-f20",115,0,0,0
"biol339-02-f20",115,0,0,0
"BIOL339-f20 (Anderson)",115,0,0,0
"biol350-00-f20",115,0,29,5
"biol355-00-f20",115,0,19,18
"biol356-00-f20",115,0,38,30
"biol363-00-f20",115,0,14,0
"biol365-00-f20",115,2,37,5
"biol380-00-f20",115,0,41,11
"biol395-00-f20",115,1,0,1
"biol399-00-f20",115,0,0,0
"biol399-01-f20",115,0,0,0
"biol399-02-f20",115,0,0,0
"biol399-03-f20",115,0,0,0
"biol399-04-f20",115,0,1,1
"biol399-05-f20",115,0,0,0
"biol399-06-f20",115,0,0,0
"biol399-07-f20",115,0,0,0
"biol399-08-f20",115,0,0,0
"biol400-02-f20",115,0,0,0
"cams100-00-f20",115,1,48,53
"cams110-00-f20",115,0,30,41
"cams111-01-f20",115,0,30,9
"cams111-02-f20",115,0,29,8
"CAMS111-f20 (Licata)",115,2,51,20
"cams210-00-f20",115,0,6,3
"cams225-00-f20",115,0,8,0
"cams240-00-f20",115,7,20,12
"cams270-00-f20",115,9,39,98
"cams279-00-f20",115,0,22,0
"cams370-00-f20",115,13,27,53
"Carly's new test",115,0,0,0
"ccst100-00-f20",115,9,0,5
"ccst208-00-f20",115,0,1,0
"cgsc100-00-f20",115,0,15,0
"cgsc130-00-f20",115,0,65,1
"cgsc396-01-f20",115,0,1,0
"chem122-00-f20",115,0,0,7
"chem123-54-f20",115,0,0,0
"chem123-59-f20",115,0,0,0
"CHEM123-f20 (Bakker-Arkema)",115,59,40,18
"chem224-54-f20",115,0,0,0
"chem224-59-f20",115,0,0,0
"Chem224-f20",115,22,4,1
"chem233-52-f20",115,0,0,0
"chem233-53-f20",115,0,0,0
"chem233-54-f20",115,0,0,0
"chem233-57-f20",115,12,6,0
"chem233-59-f20",115,0,0,0
"chem233-63-f20",115,0,0,0
"CHEM233-f20 (Alberg)",115,20,35,0
"CHEM233-f20 (Chihade)",115,22,185,65
"chem301-52-f20",115,0,0,0
"chem301-54-f20",115,0,0,0
"chem301-57-f20",115,0,0,0
"chem301-59-f20",115,0,0,0
"CHEM301-f20 (All)",115,0,19,4
"CHEM301-f20 (Whited)",115,0,0,0
"chem343-00-f20",115,0,23,5
"chem395-00-f20",115,0,0,0
"chem400-01-f20",115,0,0,0
"chin101-01-f20",115,1,3,3
"chin204-01-f20",115,0,0,0
"chin204-02-f20",115,0,0,0
"CHIN204-f20 (Deng)",115,0,0,0
"CHIN204-f20 (Guo)",115,6,23,24
"chin245-00-f20",115,0,33,0
"chin280-00-f20",115,0,10,2
"chin361-00-f20",115,0,2,0
"clas100-00-f20",115,2,55,25
"clas116-00-f20",115,32,6,14
"clas394-00-f20",115,0,0,0
"cs111-01-f20",115,33,2,14
"cs111-02-f20",115,1,0,0
"cs111-03-f20",115,0,0,0
"cs111-04-f20",115,49,16,83
"CS111-f20 (Alexander)",115,49,2,17
"cs201-01-f20",115,0,10,43
"cs201-02-f20",115,0,8,43
"cs201-03-f20",115,6,28,160
"CS201-f20 (Vostinar)",115,0,5,39
"cs208-00-f20",115,0,2,7
"CS208-M-f20",115,0,0,0
"cs251-00-f20",115,11,7,108
"CS251-M-f20",115,0,0,0
"cs252-00-f20",115,65,21,13
"CS252-M-f20",115,0,0,0
"cs254-00-f20",115,15,5,5
"CS254-M-f20",115,0,0,0
"cs257-00-f20",115,0,0,0
"CS257-M-f20",115,0,0,0
"cs304-00-f20",115,4,0,4
"CS304-M-f20",115,0,0,0
"cs318-00-f20",115,16,4,3
"CS318-M-f20",115,0,0,0
"cs320-00-f20",115,5,49,49
"CS320-M-f20",115,0,0,0
"cs331-00-f20",115,12,6,6
"CS331-M-f20",115,0,0,0
"cs399-01-f20",115,0,0,0
"cs399-02-f20",115,0,0,0
"cs399-03-f20",115,0,0,0
"cs399-04-f20",115,0,0,0
"cs399-05-f20",115,0,0,0
"CS399-f20 (Bauer)",115,0,0,0
"CS399-f20 (Csizmar Dalal)",115,0,0,0
"danc107-00-f20",115,0,0,0
"danc158-00-f20",115,0,0,0
"danc200-00-f20",115,0,0,0
"danc208-00-f20",115,0,0,0
"danc210-00-f20",115,0,0,0
"danc295-00-f20",115,18,23,79
"danc300-00-f20",115,0,0,0
"danc301-00-f20",115,0,0,0
"danc350-00-f20",115,0,0,1
"directors_training_f20",115,12,5,8
"econ110-01-f20",115,0,0,0
"econ110-02-f20",115,0,0,0
"econ110-03-f20",115,0,33,50
"ECON110-f20 (Hemesath)",115,0,23,49
"econ111-01-f20",115,0,62,31
"econ111-02-f20",115,0,9,36
"econ240-00-f20",115,0,64,39
"econ257-00-f20",115,17,8,19
"econ270-00-f20",115,0,0,0
"econ329-00-f20",115,0,26,17
"econ330-00-f20",115,0,0,0
"econ395-01-f20",115,0,11,17
"econ395-02-f20",115,1,2,24
"econ395-03-f20",115,0,35,2
"educ100-00-f20",115,34,51,4
"educ110-00-f20",115,0,47,20
"educ330-00-f20",115,0,44,23
"educ398-00-f20",115,1,33,13
"engl100-01-f20",115,7,53,13
"engl100-02-f20",115,1,22,21
"engl100-03-f20",115,1,60,27
"engl100-04-f20",115,0,26,7
"engl100-05-f20",115,0,22,3
"engl100-06-f20",115,0,54,5
"engl116-00-f20",115,18,2,0
"engl118-00-f20",115,1,17,21
"engl135-00-f20",115,3,0,0
"engl144-00-f20",115,0,0,0
"engl160-00-f20",115,0,5,15
"engl212-00-f20",115,7,52,12
"engl218-00-f20",115,0,47,14
"engl230-00-f20",115,0,17,0
"engl241-00-f20",115,0,5,5
"engl244-00-f20",115,48,2,0
"engl247-00-f20",115,0,31,20
"engl250-00-f20",115,3,0,0
"engl270-00-f20",115,0,5,0
"engl295-00-f20",115,14,15,14
"engl323-00-f20",115,0,49,16
"engl352-00-f20",115,0,15,0
"engl395-00-f20",115,13,63,49
"ents215-00-f20",115,3,49,2
"ents225-51-f20",115,0,1,2
"ents232-00-f20",115,0,15,7
"ents289-00-f20",115,0,21,3
"ents395-00-f20",115,0,16,3
"eust100-00-f20",115,2,24,16
"fren100-00-f20",115,0,0,6
"fren101-01-f20",115,20,58,96
"fren101-02-f20",115,21,61,64
"fren101-03-f20",115,22,104,131
"fren103-00-f20",115,51,41,74
"fren204-01-f20",115,8,29,1
"FREN204-02-f20 OLD",115,8,0,1
"fren204-03-f20",115,8,12,1
"fren210-00-f20",115,3,5,30
"fren244-00-f20",115,1,0,3
"fren395-00-f20",115,0,9,4
"geol110-54-f20",115,0,23,2
"geol120-51-f20",115,15,44,41
"geol210-53-f20",115,0,45,5
"geol220-54-f20",115,0,1,10
"geol370-52-f20",115,2,36,18
"geol400-00-f20",115,0,0,0
"germ101-01-f20",115,0,0,0
"germ101-02-f20",115,0,0,0
"GERM101-f20 (Peabody)",115,0,0,0
"GERM101-f20 (Schicker)",115,4,28,11
"germ204-01-f20",115,0,0,0
"germ204-02-f20",115,0,0,0
"GERM204-f20 (Kost)",115,21,77,35
"grk103-00-f20",115,0,6,1
"grk285-00-f20",115,0,0,2
"gwss110-00-f20",115,0,81,0
"gwss212-00-f20",115,3,23,6
"gwss398-00-f20",115,5,12,20
"hist100-02-f20",115,0,47,83
"hist100-03-f20",115,0,43,44
"hist100-05-f20",115,0,54,13
"hist100-06-f20",115,5,21,10
"hist116-00-f20",115,1,40,25
"hist125-00-f20",115,0,6,20
"hist135-00-f20",115,2,59,33
"hist161-00-f20",115,0,63,19
"hist170-00-f20",115,23,63,11
"hist200-00-f20",115,0,9,7
"hist205-00-f20",115,0,25,6
"hist229-00-f20",115,0,55,0
"hist245-00-f20",115,17,9,0
"hist265-00-f20",115,0,26,4
"hist271-00-f20",115,24,52,13
"hist281-00-f20",115,1,61,36
"hist298-00-f20",115,0,29,4
"hist320-00-f20",115,0,29,0
"hist331-00-f20",115,8,37,6
"idsc100-01-f20",115,8,39,16
"idsc100-02-f20",115,0,49,1
"idsc100-03-f20",115,8,69,29
"idsc100-04-f20",115,2,3,12
"idsc100-05-f20",115,17,0,0
"IDSC110 - Descriptive Statistics",115,4,0,0
"idsc110-00-f20",115,2,0,0
"idsc150-00-f20",115,1,2,7
"idsc198-00-f20",115,0,3,0
"idsc203-00-f20",115,2,29,37
"idsc235-00-f20",115,0,34,60
"idsc251-01-f20",115,0,3,3
"idsc251-02-f20",115,0,3,5
"IDSC251-f20 (Cooper)",115,0,0,0
"IDSC251-f20 (Rubenstein)",115,0,0,0
"idsc285-00-f20",115,0,1,0
"idsc298-00-f20",115,0,2,6
"jalli400-00-f20",115,0,0,0
"japn101-01-f20",115,0,15,0
"japn101-02-f20",115,0,0,0
"JAPN101-f20 (Mulholland)",115,0,0,0
"JAPN101-f20 (Tomonari & Mulholland)",115,0,59,8
"japn204-01-f20",115,0,0,0
"japn204-02-f20",115,0,0,0
"JAPN204-f20 (Habuka)",115,0,88,107
"japn246-00-f20",115,0,19,15
"latn101-00-f20",115,1,9,0
"latn204-00-f20",115,24,14,2
"latn285-00-f20",115,0,1,1
"ling100-00-f20",115,0,124,33
"ling110-00-f20",115,16,44,69
"ling115-00-f20",115,0,81,41
"ling217-00-f20",115,15,20,38
"ling240-00-f20",115,0,93,29
"ling315-00-f20",115,1,3,75
"ling399-00-f20",115,0,1,75
"ltam300-00-f20",115,0,36,2
"math101-01-f20",115,0,1,0
"math111-01-f20",115,0,1,0
"math111-02-f20",115,4,1,0
"math111-03-f20",115,1,4,7
"MATH111-f20 (Meyer)",115,0,0,0
"math120-01-f20",115,0,5,6
"math120-02-f20",115,0,0,0
"math120-03-f20",115,0,6,0
"math120-04-f20",115,0,6,0
"math120-f20 (Montee)",115,0,13,0
"MATH120-f20 (Scheirer)",115,1,65,40
"math210-00-f20",115,0,5,0
"math211-01-f20",115,0,25,54
"math211-02-f20",115,0,9,54
"math211-03-f20",115,0,17,77
"MATH211-f20 (Garver)",115,0,1,7
"math232-01-f20",115,3,22,16
"math232-02-f20",115,3,22,15
"MATH232-f20 (Jones)",115,0,0,0
"math236-00-f20",115,0,1,0
"math240-00-f20",115,6,0,111
"math240-02-f20",115,0,0,0
"math295-00-f20",115,1,0,10
"math297-00-f20",115,0,0,0
"math321-00-f20",115,2,4,7
"math342-00-f20",115,0,25,86
"math344-00-f20",115,1,0,123
"math400-00-f20",115,0,0,0
"math400-01-f20",115,0,0,0
"math400-02-f20",115,0,1,0
"math400-03-f20",115,0,0,0
"math400-04-f20",115,0,0,0
"math400-05-f20",115,0,15,0
"mela230-00-f20",115,0,23,6
"musc100-00-f20",115,0,20,26
"musc103-00-f20",115,1,29,33
"musc110-00-f20",115,1,70,79
"musc150-00-f20",115,0,0,0
"musc150-01-f20",115,0,0,0
"musc150-02-f20",115,0,0,0
"musc150-03-f20",115,0,0,0
"musc150-04-f20",115,0,0,0
"musc150j-00-f20",115,0,0,0
"musc150j-01-f20",115,0,0,0
"musc150j-02-f20",115,0,0,0
"musc150j-03-f20",115,0,0,0
"musc150j-04-f20",115,0,0,0
"musc151-00-f20",115,0,0,0
"musc151-04-f20",115,0,0,0
"musc151-05-f20",115,0,0,0
"musc151-06-f20",115,0,0,0
"musc151j-00-f20",115,0,0,0
"musc151j-04-f20",115,0,0,0
"musc151j-05-f20",115,0,0,0
"musc151j-06-f20",115,0,0,0
"musc152-00-f20",115,0,0,0
"musc152j-00-f20",115,0,0,0
"musc153j-00-f20",115,0,0,0
"musc155-00-f20",115,0,0,0
"musc155-01-f20",115,0,0,0
"musc155-02-f20",115,0,0,0
"musc155-03-f20",115,0,0,0
"musc155j-00-f20",115,0,0,0
"musc155j-01-f20",115,0,0,0
"musc155j-02-f20",115,0,0,0
"musc155j-03-f20",115,0,0,0
"musc156-00-f20",115,0,0,0
"musc156-01-f20",115,0,0,0
"musc156-02-f20",115,0,0,0
"musc156-03-f20",115,0,0,0
"musc156j-00-f20",115,0,0,0
"musc156j-01-f20",115,0,0,0
