shortname,category,assign_count,chat_count,choice_count,database_count,feedback_count,file_count,folder_count,forum_count,glossary_count,label_count,languagelesson_count,lesson_count,lti_count,page_count,quiz_count,scorm_count,survey_count,url_count,wiki_count,workshop_count
BIOL126L-52-S16,86,11,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL126L-53-S16,86,11,0,0,0,0,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0
BIOL126L-54-S16,86,9,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL126L-59-S16,86,9,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
biol126L-s16,86,1,0,0,0,0,31,1,1,0,13,0,0,0,0,0,0,0,0,0,0
BIOL126L-WL2-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL126L-WL3-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL126L-WL4-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL126L-WL9-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL209-00-S16,86,0,0,0,0,0,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BIOL234-00-S16,86,1,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL235-00-S16,86,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL240-00-S16,86,0,0,0,0,0,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL241-01-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL241-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL241-WL1-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL241-WL2-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL342-00-S16,86,5,0,0,0,0,62,1,2,0,3,0,0,0,2,0,0,0,3,0,0
BIOL343-00-S16,86,3,0,0,0,0,24,12,2,0,0,0,0,0,2,0,0,0,3,0,0
BIOL352-00-S16,86,6,0,0,0,0,34,2,1,0,0,0,0,0,0,0,0,0,1,0,0
BIOL353-00-S16,86,5,0,0,0,0,21,6,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL354-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL374-00-S16,86,3,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL385-00-S16,86,14,0,0,0,10,17,1,4,0,39,0,0,0,0,0,0,0,0,0,0
BIOL385-WL0-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL386-00-S16,86,2,0,0,0,0,128,0,1,0,0,0,0,0,0,7,0,0,0,0,0
BIOL387-00-S16,86,1,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL392-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-01 -S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-12-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-13-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-14-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-15-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-16-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-18-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-19-S16,86,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-20-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-21-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-22-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-23-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL394-24-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOL400-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMS111-01-S16,86,0,0,0,0,0,34,0,2,0,0,0,0,0,50,0,0,0,8,0,0
CAMS111-02-S16,86,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,1,0,0
CAMS111-WL1-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMS111-WL2-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMS212-00-S16,86,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,3,0,0
CAMS225-00-S16,86,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMS236-00-S16,86,3,0,0,0,0,31,6,1,0,9,0,0,0,0,0,0,0,10,0,0
CAMS236F-00-S16,86,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CAMS245-00-S16,86,0,0,0,0,0,25,0,1,0,0,0,0,0,49,0,0,0,12,0,0
CAMS283-00-S16,86,0,0,0,0,0,16,1,1,0,20,0,0,0,1,0,0,0,4,0,0
CAMS320-00-S16,86,0,0,0,0,0,36,0,2,0,0,0,0,0,0,0,0,0,6,0,0
CAMS370-00-S16,86,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMS370-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cams370-s16,86,17,0,0,0,0,12,4,30,0,6,0,0,0,21,0,0,0,33,0,0
Carleton Choir S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Carleton Linguistics in Kyoto '16,86,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,2,0,0
CCST208-00-S16,86,1,0,0,0,0,1,0,11,0,2,0,0,0,6,0,0,0,4,0,0
CGSC394-00-S16,86,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CGSC396-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CGSC396-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM113-00-S16,86,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,9,0,0
CHEM113L-54-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM128-00-S16,86,0,0,0,0,0,18,7,1,0,2,0,0,0,1,0,0,0,0,0,0
CHEM128L-52-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM128L-54-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM128L-57-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM128L-59-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM230-00-S16,86,35,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
