"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"afam115-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"afam398-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"afam400-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst115-00-s15",36,7,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0
"amst203-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"amst225-00-s15",36,8,0,0,0,2,0,4,0,12,0,0,0,0,0,0,0,0
"amst268-00-s15",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"amst396-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arbc103-00-s15",36,0,0,0,0,0,2,2,0,0,12,0,0,1,0,0,0,0
"arbc206-00-s15",36,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0,0
"arbc211-00-s15",36,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
"arbc222-00-s15",36,0,0,0,0,0,0,10,0,55,0,0,0,0,0,0,0,0
"arbc223-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arcn246-00-s15",36,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
"arcn246l-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arcn246l-52-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arth172-00-s15",36,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"arth235-00-s15",36,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
"arth255-00-s15",36,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0
"arth287-00-s15",36,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0
"arth333-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arth400-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts110-00-s15",36,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
"arts113-01-s15",36,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0
"arts113-02-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts113-03-s15",36,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts122-00-s15",36,13,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"arts252-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts260-00-s15",36,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts274-00-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"arts291-11-s15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
