"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"BIOL126L-WL4-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL210-00-W16",85,6,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
"BIOL210-WL0-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL212-07-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL240-00-W16",85,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"BIOL241-01-W16",85,3,0,0,0,0,6,1,0,4,0,0,0,0,0,0,0,0
"BIOL241-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol241-w16",85,5,0,0,0,0,1,1,0,9,0,0,0,0,0,0,0,0
"BIOL248-00-W16",85,35,1,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0
"BIOL250-07-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL307-07-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL310-00-W16",85,6,0,0,0,0,14,1,0,10,0,0,0,2,0,0,0,0
"BIOL311-00-W16",85,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL332-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0
"BIOL333-01-W16",85,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL333-02-W16",85,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL333-03-W16",85,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL379-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL384-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL394-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL399-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BIOL400-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS110-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS110-WL0-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS111-01-W16",85,3,0,0,0,0,6,3,0,8,0,0,0,2,0,0,0,0
"CAMS111-02-W16",85,0,0,0,0,1,0,16,0,4,0,0,0,0,0,0,0,0
"CAMS111-WL1-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS111-WL2-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS214-00-W16",85,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"CAMS243-00-W16",85,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS271-00-W16",85,3,0,0,0,0,12,3,0,11,0,0,0,0,0,0,0,0
"CAMS273-00-W16",85,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0
"CAMS277-00-W16",85,2,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
"CAMS330-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS400-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS400-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS400-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS400-03-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS400-04-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS400-05-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
