"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"biol387-00-s20",110,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol394-11-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol394-12-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol399-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"biol400-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cams101-00-s20",110,5,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
"CAMS111-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAMS111-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cams211-00-s20",110,2,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0
"cams245-00-s20",110,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"cams258-00-s20",110,3,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0
"cams263-00-s20",110,10,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0
"cams271-00-s20",110,8,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,2
"cams291-11-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cams320-00-s20",110,5,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0
"CCCE-s20",110,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"ccst208-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cgsc130-00-s20",110,7,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0
"cgsc236-00-s20",110,9,0,0,0,1,19,45,0,0,0,0,0,0,0,0,0,0
"cgsc394-00-s20",110,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0
"cgsc400-00-s20",110,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem123-52-s20",110,10,0,0,0,0,1,1,0,7,0,0,0,4,0,0,0,0
"chem123-54-s20",110,11,0,0,0,0,1,1,0,7,0,0,0,4,0,0,0,0
"chem123-59-s20",110,11,0,0,0,0,1,1,0,7,0,0,0,4,0,0,0,0
"chem123-s20",110,36,0,0,0,0,2,1,0,34,0,0,0,0,0,0,0,0
"chem224-53-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem224-54-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem224-59-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM224-s20 (Drew)",110,30,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0
"CHEM224-s20 (Gross)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem234-52-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem234-57-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM234-s20 (Huynh)",110,47,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
"chem320-00-s20",110,11,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0
"chem321-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem321-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM321-s20 (Chihade)",110,3,0,0,0,0,0,4,0,1,0,0,14,0,0,0,0,0
"chem348-00-s20",110,24,0,0,0,1,3,12,0,0,0,0,15,1,0,0,0,0
"chem349-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem349-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM349-s20 (Kohen)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem350-00-s20",110,17,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0
"chem351-00-s20",110,22,0,0,0,0,0,2,0,38,0,0,0,5,0,0,0,0
"chem352-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem352-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM352-s20 (Whited)",110,5,0,1,0,0,7,1,0,8,0,0,0,1,0,0,0,0
"chem400-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem400-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem400-03-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem400-04-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM400-s20 (Drew)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM400-s20 (Gross)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chin103-01-s20",110,6,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0
"chin206-00-s20",110,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"chin258-00-s20",110,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"chin355-00-s20",110,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"clas214-00-s20",110,6,0,0,0,0,4,7,0,0,0,0,7,0,0,0,0,0
"clas230-00-s20",110,10,0,0,0,0,28,7,0,1,0,0,0,0,0,0,0,0
"clas295-00-s20",110,1,0,0,0,0,2,5,0,3,0,0,2,0,0,0,0,0
"cs111-01-s20",110,18,0,0,0,1,0,1,0,34,0,0,0,1,0,0,0,0
"cs111-02-s20",110,16,0,0,0,25,0,2,0,29,0,0,0,1,0,0,0,1
"cs111-03-s20",110,56,0,0,0,0,0,1,0,88,0,3,0,8,0,0,0,0
"cs201-01-s20",110,19,0,0,0,0,0,1,0,3,0,0,34,34,0,0,0,1
"cs201-02-s20",110,19,0,0,0,0,0,1,0,2,0,0,30,20,0,0,0,1
"CS201-s20 (Rafferty)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cs202-00-s20",110,26,0,0,0,1,1,3,0,29,0,0,0,1,0,0,0,3
"cs208-00-s20",110,6,0,0,0,1,0,8,0,0,0,0,0,8,0,0,0,0
"cs251-00-s20",110,25,0,3,0,0,4,3,0,53,0,0,1,24,0,0,0,0
"cs252-00-s20",110,49,0,0,0,0,0,1,0,85,0,0,0,15,0,0,0,0
"cs257-00-s20",110,42,0,0,0,0,0,1,0,38,0,0,10,3,0,0,0,0
"cs332-00-s20",110,4,0,0,0,1,0,10,0,0,0,0,1,9,0,0,0,0
"cs358-00-s20",110,20,0,0,0,0,0,1,0,53,0,0,0,2,0,0,0,0
"cs400-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cs400-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cs400-03-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
